,file_name,file_extension,id,width,height,channel,segmentation,area,bbox,use,bbox_area,bright,lumin,lapla,expos
0,00001.jpeg,jpeg,1,566,291,3,"[[10, 39, 45, 31, 53, 32, 53, 41, 66, 42, 65, 19, 118, 0, 545, 60, 544, 202, 530, 219, 512, 219, 511, 212, 172, 289, 69, 289, 28, 264, 21, 63, 10, 52]]",154615,"[10, 0, 535, 289]",train,93.87,0.59,0.19597947112577463,0.01523484527968643,ok
1,00002.jpeg,jpeg,2,500,375,3,"[[18, 64, 133, 46, 418, 79, 409, 199, 393, 208, 381, 206, 381, 199, 143, 265, 129, 261, 100, 270, 91, 265, 89, 246, 59, 255, 47, 248, 45, 231, 34, 229, 25, 81, 18, 79]]",89600,"[18, 46, 400, 224]",train,47.79,0.49,0.16399776906318075,0.001461546764829351,ok
2,00003.jpeg,jpeg,3,762,764,3,"[[453, 478, 484, 480, 484, 514, 465, 520, 451, 517, 437, 509, 439, 486]]",1974,"[437, 478, 47, 42]",train,0.34,0.43,0.14315226078980148,0.009924525367082267,ok
3,00003.jpeg,jpeg,3,762,764,3,"[[486, 485, 497, 487, 497, 512, 487, 513]]",308,"[486, 485, 11, 28]",train,0.05,0.43,0.14315226078980148,0.009924525367082267,ok
4,00003.jpeg,jpeg,3,762,764,3,"[[515, 490, 499, 489, 499, 510, 514, 508]]",336,"[499, 489, 16, 21]",train,0.06,0.43,0.14315226078980148,0.009924525367082267,ok
5,00003.jpeg,jpeg,3,762,764,3,"[[590, 496, 616, 496, 631, 497, 629, 503, 631, 510, 614, 511, 590, 511]]",615,"[590, 496, 41, 15]",train,0.11,0.43,0.14315226078980148,0.009924525367082267,ok
6,00003.jpeg,jpeg,3,762,764,3,"[[1, 292, 570, 51, 622, 186, 655, 188, 654, 225, 704, 345, 696, 378, 1, 657]]",426018,"[1, 51, 703, 606]",train,73.18,0.43,0.14315226078980148,0.009924525367082267,ok
7,00004.jpeg,jpeg,4,820,429,3,"[[524, 228, 526, 158, 512, 171, 511, 144, 480, 143, 495, 156, 495, 187, 492, 193, 493, 262, 505, 259]]",5474,"[480, 143, 46, 119]",train,1.56,0.38,0.12618566193889008,0.009896771022122709,ok
8,00004.jpeg,jpeg,4,820,429,3,"[[11, 168, 10, 170, 13, 342, 0, 350, 4, 376, 101, 379, 98, 395, 103, 413, 120, 414, 173, 384, 252, 386, 258, 409, 262, 422, 279, 422, 314, 390, 406, 391, 493, 275, 489, 189, 492, 183, 492, 154, 476, 143, 257, 135, 134, 139]]",141491,"[0, 135, 493, 287]",train,40.22,0.38,0.12618566193889008,0.009896771022122709,ok
9,00004.jpeg,jpeg,4,820,429,3,"[[557, 81, 789, 77, 788, 93, 779, 95, 781, 107, 779, 262, 564, 263, 565, 94, 556, 92]]",43338,"[556, 77, 233, 186]",train,12.32,0.38,0.12618566193889008,0.009896771022122709,ok
10,00004.jpeg,jpeg,4,820,429,3,"[[391, 85, 543, 80, 558, 94, 558, 204, 538, 229, 526, 225, 528, 156, 515, 166, 513, 142, 390, 140]]",25032,"[390, 80, 168, 149]",train,7.12,0.38,0.12618566193889008,0.009896771022122709,ok
11,00005.jpeg,jpeg,5,240,150,3,"[[55, 47, 110, 45, 108, 49, 97, 54, 83, 56, 86, 66, 77, 74, 81, 78, 79, 82, 111, 127, 90, 134, 35, 129, 35, 127, 1, 81]]",9790,"[1, 45, 110, 89]",train,27.19,0.52,0.1721367102396514,0.004656976377591155,ok
12,00005.jpeg,jpeg,5,240,150,3,"[[1, 51, 33, 48, 39, 53, 1, 79, 28, 122, 2, 124]]",2888,"[1, 48, 38, 76]",train,8.02,0.52,0.1721367102396514,0.004656976377591155,ok
